number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lr,params_num_heads,params_num_layers,params_weight_decay,state
75,2.429655699684163,2026-03-24 11:27:51.313151,2026-03-24 11:55:58.151484,0 days 00:28:06.838333,128,0.2267525772997714,32,0.00014512049502351506,4,1,6.139999910928928e-06,COMPLETE
76,2.4392368122033377,2026-03-24 11:55:58.160484,2026-03-24 12:28:09.826204,0 days 00:32:11.665720,64,0.1701135914107993,32,0.0001926067160183316,4,2,1.178468912022901e-06,COMPLETE
77,2.536537704117965,2026-03-24 12:28:09.836203,2026-03-24 13:25:08.937231,0 days 00:56:59.101028,32,0.3148127890501816,32,0.00017586949842042672,4,2,1.466745553610142e-06,COMPLETE
78,2.3803424537506244,2026-03-24 13:25:08.946230,2026-03-24 13:41:48.375339,0 days 00:16:39.429109,128,0.26127663370389465,32,0.0012139497348174818,4,1,1.2016094359517272e-05,COMPLETE
79,2.4048680451948203,2026-03-24 13:41:48.384340,2026-03-24 14:08:37.491784,0 days 00:26:49.107444,64,0.11534173460150439,96,0.0001113296199728795,4,1,0.000540646574558362,COMPLETE
80,2.5377608789646913,2026-03-24 14:08:37.500784,2026-03-24 14:25:22.368146,0 days 00:16:44.867362,128,0.2681947811352229,32,0.0021793779441191905,4,2,1.9348362199821576e-05,COMPLETE
81,2.4165519181518174,2026-03-24 14:25:22.381146,2026-03-24 14:51:55.238838,0 days 00:26:32.857692,64,0.11741311308492235,96,0.00014679374660524306,4,1,0.000708597160478393,COMPLETE
82,2.5815631173938716,2026-03-24 14:51:55.248838,2026-03-24 15:11:34.067543,0 days 00:19:38.818705,128,0.2035401643542269,32,0.0009079871832768775,4,1,1.8784603696315738e-05,COMPLETE
83,2.5725549411919744,2026-03-24 15:11:34.085545,2026-03-24 15:52:19.014243,0 days 00:40:44.928698,32,0.13018367341121712,96,0.00023291706233830126,4,1,0.0017800464155590025,COMPLETE
84,2.454625691873373,2026-03-24 15:52:19.024244,2026-03-24 16:08:59.096662,0 days 00:16:40.072418,128,0.24055315272751587,32,0.0011159742188529289,4,1,1.7254490314367087e-06,COMPLETE
85,2.438386289714873,2026-03-24 16:08:59.105662,2026-03-24 16:50:12.886611,0 days 00:41:13.780949,32,0.2538609051331974,32,0.000658150254508024,4,1,0.0001326834625326902,COMPLETE
86,2.4420323553385685,2026-03-24 16:50:12.898611,2026-03-24 17:09:34.734315,0 days 00:19:21.835704,128,0.4274875934391517,32,0.003387745110347447,4,1,1.193886444736858e-05,COMPLETE
87,2.6095389516193483,2026-03-24 17:09:34.742315,2026-03-24 17:45:04.743912,0 days 00:35:30.001597,64,0.1663114854550828,32,0.00013424429442242985,4,1,1.3725021659396834e-06,COMPLETE
88,2.523315437115852,2026-03-24 17:45:04.751911,2026-03-24 17:49:51.761523,0 days 00:04:47.009612,128,0.29048131240082853,32,0.0027799957313296934,4,1,0.00015922503670476253,PRUNED
89,2.487309836685105,2026-03-24 17:49:51.818523,2026-03-24 17:56:32.971171,0 days 00:06:41.152648,128,0.21481642755326802,64,0.0017872911317970415,4,1,2.901378053830469e-05,PRUNED
90,2.271689861504498,2026-03-24 17:56:33.030171,2026-03-24 18:02:03.606194,0 days 00:05:30.576023,128,0.4714145835309349,48,0.0030806502421101708,2,1,0.00025389426705899217,PRUNED
91,2.5639929687063288,2026-03-24 18:02:03.653194,2026-03-24 18:29:39.181768,0 days 00:27:35.528574,64,0.11791111197324347,96,0.00013620752349799596,4,1,7.461922444894786e-05,COMPLETE
92,2.497812602966153,2026-03-24 18:29:39.193767,2026-03-24 18:50:54.464334,0 days 00:21:15.270567,64,0.10419217405935721,96,0.00043988360682387486,2,1,4.19821016684348e-05,COMPLETE
93,2.5232786784506103,2026-03-24 18:50:54.473334,2026-03-24 19:41:53.494235,0 days 00:50:59.020901,32,0.35097764606239334,32,0.0001323741221337375,4,1,2.6571997665371445e-05,COMPLETE
94,2.436761069087863,2026-03-24 19:41:53.507235,2026-03-24 20:05:10.560133,0 days 00:23:17.052898,128,0.14349400330760143,32,0.00014290663297145231,4,1,0.0012386777115597307,COMPLETE
95,2.4096684155788033,2026-03-24 20:05:10.569133,2026-03-24 20:10:06.587207,0 days 00:04:56.018074,128,0.4576533391975505,48,0.003472638017536768,4,1,0.0012881199050766385,PRUNED
96,2.4149807110092274,2026-03-24 20:10:06.596208,2026-03-24 20:31:52.330349,0 days 00:21:45.734141,128,0.29753464892398956,48,0.00019950234615471,4,1,6.805907898379025e-06,COMPLETE
97,2.3366726092832004,2026-03-24 20:31:52.344349,2026-03-24 20:36:01.185875,0 days 00:04:08.841526,128,0.25191575140917805,32,0.0014393593085734679,2,1,4.689535071962357e-06,PRUNED
98,2.499077214073796,2026-03-24 20:36:01.192875,2026-03-24 20:48:26.367124,0 days 00:12:25.174249,32,0.4712660058996297,64,0.0004891680720644111,2,1,6.880225188636548e-05,PRUNED
99,2.614183270677363,2026-03-24 20:48:26.378124,2026-03-24 20:54:16.906673,0 days 00:05:50.528549,128,0.1883476469052055,64,0.004462204791511328,4,2,0.0073780811837133396,PRUNED
