cutoff_hz,cutoff_label,model,mean_rmse,std_rmse,mean_corr,std_corr,mean_r2,std_r2
0.02,0.02,RF_50t,2.9336097281974594,0.3951866213439522,0.859644403849722,0.049603753250251625,0.6590622961872611,0.09941673503015704
0.02,0.02,RF_200t,2.926329618166763,0.3957487607634455,0.8610997766563823,0.04867252721230254,0.6609789075779302,0.09713204435384812
0.025,0.025,OLS,2.887511336233564,0.669901964829452,0.8865810662852736,0.027551861903516973,0.675612993530023,0.11338921848141656
0.025,0.025,Ridge,2.8362512081226985,0.5920670978637084,0.8849154950185834,0.02721477719975928,0.690045376515101,0.08225855060836829
0.025,0.025,Lasso,2.858887348468455,0.6220971733170486,0.886935776044534,0.028584142762938393,0.6838012399404632,0.09470386033979328
0.025,0.025,ElasticNet,2.8553708616439764,0.5612477009018694,0.8852040188649476,0.027269635100505448,0.6859009658151665,0.07548558235659708
0.025,0.025,RF_9t_2f,2.852156486278627,0.4174046102695895,0.8684582379712179,0.044723045131237316,0.6792513528708413,0.08674617988151016
0.025,0.025,RF_50t,3.014065102956098,0.4940675145263631,0.8592700263194926,0.05730007542614187,0.6343615124225388,0.1445951281748014
0.025,0.025,RF_200t,2.9867908902209113,0.48893377044967107,0.8614148296599857,0.056694019506629174,0.6415322792802932,0.14011980161608176
0.03,0.03,OLS,2.9103397125648565,0.6689224035598369,0.8845857866503957,0.02859275602908391,0.6704277366860039,0.11367309216556654
0.03,0.03,Ridge,2.8585917763006963,0.5922455976152199,0.8826240155264381,0.028005732211880876,0.6851497875868908,0.08253652328944638
0.03,0.03,Lasso,2.881291870099937,0.621618469723264,0.8850465335986215,0.029637784340080124,0.6788137637820866,0.094886309810693
0.03,0.03,ElasticNet,2.8778541557510477,0.561729469259718,0.8829705581499021,0.02821341464887597,0.6809263326969826,0.07589274294433507
0.03,0.03,RF_9t_2f,2.9019592094281466,0.4180084255223975,0.8630641850263654,0.04860615030300044,0.6673117762672702,0.09506192252949892
0.03,0.03,RF_50t,3.0570424199537474,0.50446400381594,0.8552732810623674,0.05563408521499806,0.625687310718333,0.13576513469047094
0.03,0.03,RF_200t,3.0383363135219597,0.4962135622109507,0.8570732724482057,0.056250383172517425,0.6296821820569372,0.13787767403963336
0.04,0.04,OLS,2.9398298869429773,0.6666900830037429,0.882175394615903,0.029892166505770323,0.6636562508642809,0.11371615097151751
0.04,0.04,Ridge,2.8869243693419913,0.5929847005401763,0.8797786478792323,0.028987390074275574,0.6788266860317518,0.08321491295032472
0.04,0.04,Lasso,2.916662923658744,0.6207784748336928,0.8817426902386734,0.03430807375644901,0.6706074495512353,0.09639950886512709
0.04,0.04,ElasticNet,2.9064967015759136,0.5626463006533184,0.8802087903300244,0.029377196070221216,0.6744773000423753,0.07670999216285024
0.04,0.04,RF_9t_2f,2.910133794243027,0.3946688445932479,0.8650865586743434,0.04771671236726649,0.6633285016014563,0.1025746289689347
0.04,0.04,RF_50t,3.0639365944908,0.5246145356902331,0.8576165624615057,0.05500373885839148,0.6223581318153049,0.14843612589514502
0.04,0.04,RF_200t,3.04160888392134,0.5149655742068842,0.8595003082695121,0.05553665904614032,0.627760483857738,0.14754890463738415
0.05,0.05,OLS,2.9574883470192654,0.6645938851974809,0.880876129624963,0.03054301013839916,0.6595982146919181,0.1133667589311883
0.05,0.05,Ridge,2.9118205920967366,0.59908741543378,0.8782000454935404,0.029504332364761663,0.6735554616504675,0.08336159541557696
0.05,0.05,Lasso,2.9575149036743706,0.6449596542690178,0.879806985023144,0.03429656081988213,0.6610510593640709,0.10208154976935693
0.05,0.05,ElasticNet,2.923611089605128,0.56388599957315,0.8786675881399354,0.029978710506391514,0.670571363132077,0.07743256546154566
0.05,0.05,RF_9t_2f,2.9254321861736914,0.40574630222076113,0.8628093277328971,0.04803998343737266,0.6596069507508966,0.10846389352753273
0.05,0.05,RF_50t,3.0325350768288004,0.47581742077444655,0.8571843206981947,0.05313382611944447,0.6305738527339335,0.13946964539292073
0.05,0.05,RF_200t,3.0231275408550324,0.4749080595436302,0.8589488342475804,0.05330157864865399,0.6328761914290026,0.13938081726109616
0.07,0.07,OLS,2.977218700131356,0.6607992784717448,0.8795772052927116,0.030988395906904647,0.6551278639620947,0.11223639520418352
0.07,0.07,Ridge,2.943853988375695,0.60653241460114,0.8760941217020142,0.029620323896729823,0.666570388804111,0.0838183408901945
0.07,0.07,Lasso,2.9869271215528777,0.6218682843972744,0.8787463548880092,0.03413191358871971,0.655667381564774,0.09181182016451978
0.07,0.07,ElasticNet,2.9428932866410773,0.5663829711783355,0.8771055549187445,0.030480583258761604,0.6661453251850019,0.07845818457959697
0.07,0.07,RF_9t_2f,2.92756369027634,0.4247739055584453,0.8633073966572268,0.04964805839170905,0.6583975023059718,0.11542390972173838
0.07,0.07,RF_50t,3.023236680001941,0.47300723316547877,0.8585507752471662,0.05031801135766841,0.6336441607700958,0.13621915060206916
0.07,0.07,RF_200t,3.01422481537753,0.4811404268217237,0.8597644425926072,0.05021138324799594,0.6360204902198232,0.13506123795889743
0.1,0.1,OLS,2.991545176774079,0.656041603097576,0.8786936432790728,0.031094839564512526,0.6519561791229652,0.11060664665196543
0.1,0.1,Ridge,2.957468248316304,0.608640814311883,0.874935060272081,0.029914686141861973,0.6634365554151923,0.08455262010608068
0.1,0.1,Lasso,3.007435183923248,0.6260752276043227,0.878221824443683,0.03399459767176908,0.6509395457702609,0.09270441153243193
0.1,0.1,ElasticNet,2.9569852324041803,0.5686799445806799,0.8760667221240059,0.030755969870335284,0.6628978765803626,0.07927622816482814
0.1,0.1,RF_9t_2f,2.9756054104818412,0.41894173696330034,0.8594622088671834,0.04760498518803354,0.6480928316679072,0.11031097251743566
0.1,0.1,RF_50t,3.013181066914825,0.4472636652732941,0.85913831436465,0.050274389601648865,0.6355523220758481,0.13641288668686344
0.1,0.1,RF_200t,2.995665545428826,0.45064373498477855,0.8610354802466709,0.051147932402773016,0.6400948895998992,0.1344355710607422
0.15,0.15,OLS,3.0030035979092977,0.6504998995738199,0.8779896615675971,0.031105144798496683,0.6494593747648298,0.10875133307864833
0.15,0.15,Ridge,2.9743609783588227,0.6125493002586863,0.8738511071111159,0.030309913234855577,0.6595187023216712,0.08566978131170944
